,x,y,V
0,-2.0,-2.0,13.305779248673536
1,-2.0,-1.963,13.289758843433184
2,-2.0,-1.926,13.27285322146774
3,-2.0,-1.889,13.255044323251427
4,-2.0,-1.8519999999999999,13.236316596710765
5,-2.0,-1.815,13.216657268408715
6,-2.0,-1.778,13.19605661462758
7,-2.0,-1.741,13.174508230033629
8,-2.0,-1.704,13.152009291465214
9,-2.0,-1.6669999999999998,13.128560814262462
10,-2.0,-1.63,13.10416789845374
11,-2.0,-1.593,13.078839962034332
12,-2.0,-1.556,13.052590958518792
13,-2.0,-1.519,13.025439575922611
14,-2.0,-1.482,12.997409414333275
15,-2.0,-1.4449999999999998,12.968529139267172
16,-2.0,-1.408,12.938832608078748
17,-2.0,-1.371,12.908358966792733
18,-2.0,-1.3339999999999999,12.877152714869998
19,-2.0,-1.297,12.845263735592665
20,-2.0,-1.2599999999999998,12.81274728996424
21,-2.0,-1.2229999999999999,12.779663972265205
22,-2.0,-1.186,12.746079625681897
23,-2.0,-1.149,12.712065216735306
24,-2.0,-1.1119999999999999,12.67769666757385
25,-2.0,-1.0749999999999997,12.64305464555764
26,-2.0,-1.0379999999999998,12.608224309947639
27,-2.0,-1.001,12.573295015917765
28,-2.0,-0.964,12.538359976527028
29,-2.0,-0.9269999999999998,12.503515883717654
30,-2.0,-0.8899999999999999,12.468862489838745
31,-2.0,-0.8529999999999998,12.434502151628351
32,-2.0,-0.8159999999999998,12.4005393390142
33,-2.0,-0.7789999999999999,12.367080111509539
34,-2.0,-0.7419999999999998,12.33423156537971
35,-2.0,-0.7049999999999998,12.302101255132076
36,-2.0,-0.6679999999999997,12.27079659323103
37,-2.0,-0.6309999999999998,12.240424232256341
38,-2.0,-0.5939999999999999,12.211089434001758
39,-2.0,-0.5569999999999997,12.182895430247706
40,-2.0,-0.5199999999999998,12.155942780132719
41,-2.0,-0.4829999999999999,12.130328729189914
42,-2.0,-0.44599999999999973,12.106146575204349
43,-2.0,-0.4089999999999998,12.083485046082611
44,-2.0,-0.3719999999999999,12.062427694905997
45,-2.0,-0.33499999999999974,12.043052317262628
46,-2.0,-0.2979999999999998,12.025430395821925
47,-2.0,-0.2609999999999997,12.009626576928067
48,-2.0,-0.22399999999999975,11.995698183749145
49,-2.0,-0.18699999999999983,11.983694770228078
50,-2.0,-0.1499999999999997,11.973657719743478
51,-2.0,-0.11299999999999977,11.965619892007275
52,-2.0,-0.07599999999999962,11.959605321305823
53,-2.0,-0.0389999999999997,11.955628968737342
54,-2.0,-0.0019999999999997797,11.953696530616986
55,-2.0,0.03500000000000014,11.953804304717044
56,-2.0,0.07200000000000006,11.955939115490828
57,-2.0,0.10900000000000043,11.96007829890077
58,-2.0,0.14600000000000035,11.966189746941119
59,-2.0,0.18300000000000027,11.974232011420042
60,-2.0,0.2200000000000002,11.984154466051455
61,-2.0,0.2570000000000001,11.99589752540999
62,-2.0,0.2940000000000005,12.009392918829217
63,-2.0,0.3310000000000004,12.0245640168791
64,-2.0,0.3680000000000003,12.041326207649046
65,-2.0,0.40500000000000025,12.05958731969213
66,-2.0,0.44200000000000017,12.079248088158263
67,-2.0,0.47900000000000054,12.100202660362168
68,-2.0,0.5160000000000005,12.122339136798672
69,-2.0,0.5530000000000004,12.145540143434463
70,-2.0,0.5900000000000003,12.169683430973055
71,-2.0,0.6270000000000002,12.19464249670807
72,-2.0,0.6640000000000006,12.220287224548423
73,-2.0,0.7010000000000005,12.246484538815967
74,-2.0,0.7380000000000004,12.273099067479137
75,-2.0,0.7750000000000004,12.299993810592422
76,-2.0,0.8120000000000003,12.327030809857074
77,-2.0,0.8490000000000002,12.354071815399514
78,-2.0,0.8860000000000006,12.380978946075613
79,-2.0,0.9230000000000005,12.407615339846368
80,-2.0,0.9600000000000004,12.43384579102844
81,-2.0,0.9970000000000003,12.459537371495879
82,-2.0,1.0340000000000003,12.484560033191894
83,-2.0,1.0710000000000006,12.508787189596285
84,-2.0,1.1080000000000005,12.532096274079656
85,-2.0,1.1450000000000005,12.554369273355231
86,-2.0,1.1820000000000004,12.575493234507794
87,-2.0,1.2190000000000003,12.595360744333302
88,-2.0,1.2560000000000002,12.61387037995782
89,-2.0,1.2930000000000006,12.630927129917993
90,-2.0,1.3300000000000005,12.646442785074338
91,-2.0,1.3670000000000004,12.660336298891671
92,-2.0,1.4040000000000004,12.672534116756681
93,-2.0,1.4410000000000003,12.682970474110643
94,-2.0,1.4780000000000006,12.691587663255765
95,-2.0,1.5150000000000006,12.698336268747662
96,-2.0,1.5520000000000005,12.703175371315536
97,-2.0,1.5890000000000004,12.706072720258128
98,-2.0,1.6260000000000003,12.70700487424995
99,-2.0,1.6630000000000007,12.705957310462484
100,-2.0,1.7000000000000006,12.702924501861927
101,-2.0,1.7370000000000005,12.697909962493531
102,-2.0,1.7740000000000005,12.6909262605062
103,-2.0,1.8110000000000004,12.681994998614659
104,-2.0,1.8480000000000008,12.671146761644435
105,-2.0,1.8850000000000007,12.658421030761621
106,-2.0,1.9220000000000006,12.643866063959027
107,-2.0,1.9590000000000005,12.627538742357064
108,-2.0,1.9960000000000004,12.609504381885005
109,-2.0,2.0330000000000004,12.589836509939392
110,-2.0,2.0700000000000003,12.568616606674073
111,-2.0,2.107,12.545933810662572
112,-2.0,2.144,12.521884588789916
113,-2.0,2.181000000000001,12.496572370378178
114,-2.0,2.218000000000001,12.47010714572812
115,-2.0,2.255000000000001,12.44260502946753
116,-2.0,2.2920000000000007,12.41418778933396
117,-2.0,2.3290000000000006,12.384982341283123
