,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12625,625,1000,1952,1000,1665.000533001066,30702.818136752805,1125,1.6203811846428097e-05,526.00052500105
12626,626,1,1989,1000,1219665.106040212,23068.896537069595,1125,2.214292953530108e-05,663.000662001324
12627,627,1000,1989,1000,2000.000872001744,23068.896537069595,1125,2.214292953530108e-05,663.000662001324
12628,628,1,2033,1000,1264899.1017742036,38277.60546969107,1125,1.3493835902839108e-05,554.000553001106
12629,629,1000,2033,1000,2250.0,38277.60546969107,1125,1.3493835902839108e-05,554.000553001106
12630,630,1,1924,1000,1146829.106329213,42786.75893468714,1125,1.1382829617996324e-05,627.000626001252
12631,631,1000,1924,1000,1575.000448000896,42786.75893468714,1125,1.1382829617996324e-05,627.000626001252
12632,632,1,1934,1000,1159067.1073172146,20648.35377654808,1125,2.408777910843404e-05,534.0005330010661
12633,633,1000,1934,1000,1607.000479000958,20648.35377654808,1125,2.408777910843404e-05,534.0005330010661
12634,634,1,1945,1000,1165572.101447203,32459.15346691945,1125,1.5249933977894487e-05,643.0006420012841
12635,635,1000,1945,1000,1600.000472000944,32459.15346691945,1125,1.5249933977894487e-05,643.0006420012841
12636,636,1,2004,1000,1232553.102053204,48304.12166339691,1125,1.0505508899792597e-05,572.000571001142
12637,637,1000,2004,1000,2250.0,48304.12166339691,1125,1.0505508899792597e-05,572.000571001142
12638,638,1,1946,1000,1170872.1056222112,20294.0719256288,1125,2.4685950954372063e-05,499.00049800099606
12639,639,1000,1946,1000,1609.000479000958,20294.0719256288,1125,2.4685950954372063e-05,499.00049800099606
12640,640,1,2009,1000,1238374.1022492046,17315.290705277945,1125,3.0076268297187535e-05,461.00046000092
12641,641,1000,2009,1000,2250.0,17315.290705277945,1125,3.0076268297187535e-05,461.00046000092
12642,642,1,2016,1000,1245671.1016712033,62978.4965547788,1125,8.081516542249872e-06,545.0005440010881
12643,643,1000,2016,1000,2250.0,62978.4965547788,1125,8.081516542249872e-06,545.0005440010881
12644,644,1,2010,1000,1247325.1100752202,31862.25670384617,1125,1.60838754383929e-05,546.00054500109
12645,645,1000,2010,1000,2250.0,31862.25670384617,1125,1.60838754383929e-05,546.00054500109
12646,646,1,1986,1000,1215849.1055992113,56820.56276298269,1125,8.832767784307065e-06,579.0005780011561
12647,647,1000,1986,1000,1890.00076000152,56820.56276298269,1125,8.832767784307065e-06,579.0005780011561
12648,648,1,1985,1000,1215282.1061572123,21508.977648535954,1125,2.3746361744050997e-05,788.000787001574
12649,649,1000,1985,1000,1978.0008450016896,21508.977648535954,1125,2.3746361744050997e-05,788.000787001574
12650,650,1,2018,1000,1253429.1071792145,59071.927288081984,1125,8.630503545099301e-06,642.000641001282
12652,652,1,1965,1000,1187317.1006922014,63243.34910681608,1125,7.840055465910098e-06,523.000522001044
12683,683,1000,2015,1000,2250.0,19584.50510241633,1125,2.6557681491245743e-05,490.00048900097806
12684,684,1,2075,1000,1312578.1022032043,17860.62134600556,1125,3.007143474294765e-05,447.00044600089205
12685,685,1000,2075,1000,2250.0,17860.62134600556,1125,3.007143474294765e-05,447.00044600089205
12718,718,1,1919,1000,1140215.1053402107,57661.31504699464,1125,8.391786029007404e-06,537.0005360010721
12719,719,1000,1919,1000,1539.000409000818,57661.31504699464,1125,8.391786029007404e-06,537.0005360010721
12720,720,1,1922,1000,1151209.112959226,14852.2684676915,1125,3.365595979964605e-05,536.00053500107
12721,721,1000,1922,1000,1587.000461000922,14852.2684676915,1125,3.365595979964605e-05,536.00053500107
12722,722,1,1956,1000,1185324.1088242177,14725.911800214624,1125,3.461440501330096e-05,453.000452000904
12723,723,1000,1956,1000,1691.00056000112,14725.911800214624,1125,3.461440501330096e-05,453.000452000904
12724,724,1,1985,1000,1210751.1016262034,30525.078470973804,1125,1.6587649486056996e-05,558.0005570011141
12725,725,1000,1985,1000,1939.0008070016145,30525.078470973804,1125,1.6587649486056996e-05,558.0005570011141
12726,726,1,1872,1000,1086167.1041672083,18590.760884399468,1125,2.5863293244337585e-05,521.0005200010401
12727,727,1000,1872,1000,1430.000303000606,18590.760884399468,1125,2.5863293244337585e-05,521.0005200010401
12728,728,1,1975,1000,1209059.1111842224,23467.46877328241,1125,2.159985509118796e-05,541.00054000108
12729,729,1000,1975,1000,1876.000746001492,23467.46877328241,1125,2.159985509118796e-05,541.00054000108
12730,730,1,1993,1000,1222741.1046162092,23958.59879347268,1125,2.13425627013357e-05,434.00043300086605
12731,731,1000,1993,1000,1969.000842001684,23958.59879347268,1125,2.13425627013357e-05,434.00043300086605
12732,732,1,1967,1000,1187347.098472197,5948.655124187567,1125,9.197560384354492e-05,312.00031100062205
12733,733,1000,1967,1000,1648.000522001044,5948.655124187567,1125,9.197560384354492e-05,312.00031100062205
12734,734,1,1997,1000,1233460.1108352218,35823.21867571003,1125,1.4180965819795698e-05,729.0007280014561
12735,735,1000,1997,1000,2250.0,35823.21867571003,1125,1.4180965819795698e-05,729.0007280014561
12736,736,1,1968,1000,1207645.1176452353,34067.76709760266,1125,1.4702817658343648e-05,654.0006530013061
12737,737,1000,1968,1000,1836.00070500141,34067.76709760266,1125,1.4702817658343648e-05,654.0006530013061
12738,738,1,1931,1000,1157570.1091952184,21160.65552791899,1125,2.3448722371506863e-05,780.000779001558
12739,739,1000,1931,1000,1565.000439000878,21160.65552791899,1125,2.3448722371506863e-05,780.000779001558
12740,740,1,1996,1000,1228309.1068092135,26541.02535794844,1125,1.9247277804504868e-05,526.00052500105
12741,741,1000,1996,1000,2192.001058002116,26541.02535794844,1125,1.9247277804504868e-05,526.00052500105
12742,742,1,1911,1000,1130009.1041342083,37975.69189391539,1125,1.2751685142323112e-05,676.00067500135
12743,743,1000,1911,1000,1512.0003850007702,37975.69189391539,1125,1.2751685142323112e-05,676.00067500135
12744,744,1,2004,1000,1235912.1054122108,37863.40378447395,1125,1.345080925764778e-05,566.0005650011301
12717,717,1000,1950,1000,1625.000496000992,45075.89336503402,1125,1.0954838614553696e-05,705.000704001408
12716,716,1,1950,1000,1178321.1085712172,45075.89336503402,1125,1.0954838614553696e-05,705.000704001408
12715,715,1000,2029,1000,2250.0,27639.171705755853,1125,1.877327561828568e-05,653.000652001304
12714,714,1,2029,1000,1267921.1092962185,27639.171705755853,1125,1.877327561828568e-05,653.000652001304
12686,686,1,1900,1000,1116427.102927206,857.7067688753539,1125,0.0017536484141086,1.0
12687,687,1000,1900,1000,1489.0003590007182,857.7067688753539,1125,0.0017536484141086,1.0
12688,688,1,1904,1000,1121943.1039432078,24332.554277867548,1125,1.9996796866573588e-05,506.00050500101
12689,689,1000,1904,1000,1499.000372000744,24332.554277867548,1125,1.9996796866573588e-05,506.00050500101
12690,690,1,1958,1000,1182950.1042002086,38265.325605423706,1125,1.2991493872195945e-05,687.0006860013721
12691,691,1000,1958,1000,1647.000519001038,38265.325605423706,1125,1.2991493872195945e-05,687.0006860013721
12692,692,1,1980,1000,1210693.1071932146,43652.19275332561,1125,1.1499560455580404e-05,500.0004990009981
12693,693,1000,1980,1000,1809.00068000136,43652.19275332561,1125,1.1499560455580404e-05,500.0004990009981
12694,694,1,1934,1000,1164947.1131972263,22620.32250273451,1125,2.193376085578407e-05,709.0007080014161
12695,695,1000,1934,1000,1619.00049000098,22620.32250273451,1125,2.193376085578407e-05,709.0007080014161
12696,696,1,2015,1000,1254312.111437223,29928.222781152373,1125,1.718851541582328e-05,569.000568001136
12697,697,1000,2015,1000,2250.0,29928.222781152373,1125,1.718851541582328e-05,569.000568001136
12698,698,1,2058,1000,1298414.1071642144,36076.940949595446,1125,1.4503495776723484e-05,613.0006120012241
12623,623,1000,1965,1000,1733.000607001214,20586.18906079149,1125,2.458052481225445e-05,530.000529001058
12699,699,1000,2058,1000,2250.0,36076.940949595446,1125,1.4503495776723484e-05,613.0006120012241
12701,701,1000,1989,1000,1892.00076500153,29069.98226350909,1125,1.7472357090962866e-05,577.000576001152
12702,702,1,1954,1000,1175680.1014302028,35384.65082334684,1125,1.4036444930331204e-05,546.00054500109
12703,703,1000,1954,1000,1641.000513001026,35384.65082334684,1125,1.4036444930331204e-05,546.00054500109
12704,704,1,1990,1000,1216810.1020602044,33754.08732283362,1125,1.5010501967979614e-05,528.000527001054
12705,705,1000,1990,1000,2090.000959001918,33754.08732283362,1125,1.5010501967979614e-05,528.000527001054
12706,706,1,1955,1000,1177749.102374205,48089.08733543205,1125,1.0286911479142869e-05,638.0006370012741
12707,707,1000,1955,1000,1610.000481000962,48089.08733543205,1125,1.0286911479142869e-05,638.0006370012741
12708,708,1,1978,1000,1208021.1067712137,32646.835169645423,1125,1.543379890822832e-05,587.0005860011721
12709,709,1000,1978,1000,1853.000724001448,32646.835169645423,1125,1.543379890822832e-05,587.0005860011721
12710,710,1,1962,1000,1189783.106533213,31799.28327069781,1125,1.571884877011966e-05,642.000641001282
12711,711,1000,1962,1000,1663.000533001066,31799.28327069781,1125,1.571884877011966e-05,642.000641001282
12712,712,1,1925,1000,1142975.1013502027,52068.36804309338,1125,9.335076773515406e-06,538.000537001074
12713,713,1000,1925,1000,1545.00041500083,52068.36804309338,1125,9.335076773515406e-06,538.000537001074
12700,700,1,1989,1000,1216498.102873206,29069.98226350909,1125,1.7472357090962866e-05,577.000576001152
12745,745,1000,2004,1000,2250.0,37863.40378447395,1125,1.345080925764778e-05,566.0005650011301
12622,622,1,1965,1000,1193139.1065142131,20586.18906079149,1125,2.458052481225445e-05,530.000529001058
