,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,alpha,tstar
0,1,177,100,293.8070511729166,5.524802721848026,2,1.2251188717051467,1.0215425293938403
1,100,177,100,15.052145040899283,5.524802721848026,2,1.2251188717051467,1.0215425293938403
2,1,186,100,310.1314898583301,8.03567583343335,2,1.1452084321850446,1.0068747666442772
3,100,186,100,17.029937837637153,8.03567583343335,2,1.1452084321850446,1.0068747666442772
4,1,175,100,283.99712305609467,4.328069188627806,2,1.3168467513013924,1.0005006304367705
5,100,175,100,15.024568718255738,4.328069188627806,2,1.3168467513013924,1.0005006304367705
6,1,171,100,278.9339088532397,4.727440181215803,2,1.2681986160866106,1.0043137347463797
7,100,171,100,13.068191762652413,4.727440181215803,2,1.2681986160866106,1.0043137347463797
8,1,180,100,299.4453371684884,8.422972289891781,2,1.1315043624401742,1.000105664088156
9,100,180,100,13.169356993972503,8.422972289891781,2,1.1315043624401742,1.000105664088156
10,1,181,100,296.5075327082752,5.937442314629931,2,1.2081808584599987,1.0073393676151265
11,100,181,100,11.047315668123229,5.937442314629931,2,1.2081808584599987,1.0073393676151265
12,1,159,100,256.2821616135185,3.1145240833378423,2,1.4938743516148754,1.0406674934997457
13,100,159,100,15.12996872474503,3.1145240833378423,2,1.4938743516148754,1.0406674934997457
14,1,194,100,322.2339626702256,15.280814468035613,2,1.0711516411278337,1.0020969645846745
15,100,194,100,13.400170369824943,15.280814468035613,2,1.0711516411278337,1.0020969645846745
16,1,149,100,238.06325426458415,2.727405993219952,2,1.5822235088437675,1.0168262183910841
17,100,149,100,9.863570806382219,2.727405993219952,2,1.5822235088437675,1.0168262183910841
18,1,189,100,310.9964092358856,7.010387250806033,2,1.1755481573027777,1.0028846990750655
19,100,189,100,15.054512580942355,7.010387250806033,2,1.1755481573027777,1.0028846990750655
20,1,150,100,233.88332219494038,2.5422459902251053,2,1.6781795496788465,1.0001697312321554
21,100,150,100,9.174202771028586,2.5422459902251053,2,1.6781795496788465,1.0001697312321554
22,1,173,100,283.34714391562534,4.983759317483916,2,1.252227192886808,1.0011968411402494
23,100,173,100,9.572985935725677,4.983759317483916,2,1.252227192886808,1.0011968411402494
24,1,164,100,265.0170138828059,3.366856717157178,2,1.4457639556990425,1.004143812813779
25,100,164,100,11.847529429206286,3.366856717157178,2,1.4457639556990425,1.004143812813779
26,1,166,100,266.02163938639654,3.304011017855704,2,1.4673489661705723,1.001420469697526
27,100,166,100,13.177057124055704,3.304011017855704,2,1.4673489661705723,1.001420469697526
28,1,160,100,255.33942117131798,3.7891743928422796,2,1.341950016209415,1.1008768317259778
29,100,160,100,11.39039102055207,3.7891743928422796,2,1.341950016209415,1.1008768317259778
30,1,152,100,242.2613161558087,3.204840958100175,2,1.4247073336575287,1.000341599008176
31,100,152,100,9.006428255588938,3.204840958100175,2,1.4247073336575287,1.000341599008176
32,1,169,100,277.51952860196707,9.956535448470413,2,1.0982112065484182,1.6600085127094295
33,100,169,100,13.429638908748732,9.956535448470413,2,1.0982112065484182,1.6600085127094295
34,1,165,100,271.2580454317217,3.0122854892349182,2,1.5758096341094772,1.4105742677727608
35,100,165,100,9.77799724762226,3.0122854892349182,2,1.5758096341094772,1.4105742677727608
36,1,153,100,243.48172365829979,3.038604510992431,2,1.4787179034407154,1.0070956043498824
37,100,153,100,9.84047808972663,3.038604510992431,2,1.4787179034407154,1.0070956043498824
38,1,186,100,308.6700260079756,6.082200568479293,2,1.2090882188618612,1.0099806870278194
39,100,186,100,23.495627961512977,6.082200568479293,2,1.2090882188618612,1.0099806870278194
40,1,154,100,247.0033501813866,2.851263420537423,2,1.5622328908216758,1.856278514354749
41,100,154,100,9.657363782766975,2.851263420537423,2,1.5622328908216758,1.856278514354749
42,1,165,100,263.26377346251127,3.5016270981720266,2,1.4133483567522938,1.0010136556203195
43,100,165,100,13.111635326249502,3.5016270981720266,2,1.4133483567522938,1.0010136556203195
44,1,174,100,286.24710963533806,4.2375119765722555,2,1.3281014641218143,1.129580750309002
45,100,174,100,13.489168890793065,4.2375119765722555,2,1.3281014641218143,1.129580750309002
46,1,180,100,295.5209128241654,5.247073501155517,2,1.2465512422315101,1.0043565257195233
47,100,180,100,21.039288740893788,5.247073501155517,2,1.2465512422315101,1.0043565257195233
48,1,183,100,298.87105681391563,319.15440560910776,2,1.002856828892648,1.251649448177882
49,100,183,100,11.073774529011116,319.15440560910776,2,1.002856828892648,1.251649448177882
50,1,179,100,293.8978914207753,6.694285473258631,2,1.1747054759234306,1.0955454612616577
51,100,179,100,9.57410107949456,6.694285473258631,2,1.1747054759234306,1.0955454612616577
52,1,170,100,280.8653979870852,3.711869716899429,2,1.3998258428474502,1.3570931736098646
53,100,170,100,7.809817404119416,3.711869716899429,2,1.3998258428474502,1.3570931736098646
54,1,175,100,291.6157797447285,3.52139511386024,2,1.462066831148449,1.3687833228016055
55,100,175,100,15.235650871130456,3.52139511386024,2,1.462066831148449,1.3687833228016055
56,1,187,100,309.4711619351508,9.526687325724438,2,1.118204966446418,1.012034062106125
57,100,187,100,15.208405403581565,9.526687325724438,2,1.118204966446418,1.012034062106125
58,1,158,100,253.07023208504768,3.436263124202529,2,1.400194105817396,1.0017115213019256
59,100,158,100,9.75904666833115,3.436263124202529,2,1.400194105817396,1.0017115213019256
60,1,161,100,263.18043525146356,3.393976137137385,2,1.4307153376253485,1.0717207624598446
61,100,161,100,13.883175176715255,3.393976137137385,2,1.4307153376253485,1.0717207624598446
62,1,177,100,292.37080555443197,7.444963143137974,2,1.1501870993657506,1.0042051849915876
63,100,177,100,13.033356989145867,7.444963143137974,2,1.1501870993657506,1.0042051849915876
64,1,184,100,305.5228358446866,10.39393518971843,2,1.1045451476464399,1.0002981826845954
65,100,184,100,9.829781520068371,10.39393518971843,2,1.1045451476464399,1.0002981826845954
66,1,192,100,322.4714987756706,3.188468951482785,2,1.6351079240198974,1.8061880622324373
67,100,192,100,11.152552274492974,3.188468951482785,2,1.6351079240198974,1.8061880622324373
68,1,161,100,258.467027922822,3.5705825572097045,2,1.3855918073857685,1.0010349569808916
69,100,161,100,9.527412462545241,3.5705825572097045,2,1.3855918073857685,1.0010349569808916
70,1,184,100,302.19983547612844,802.9144155807431,2,1.001139492518869,1.0782687598014726
71,100,184,100,13.85864837432442,802.9144155807431,2,1.001139492518869,1.0782687598014726
72,1,172,100,283.1404872157451,5.140515810893105,2,1.239589410732069,1.0025351497647235
73,100,172,100,15.117635979944772,5.140515810893105,2,1.239589410732069,1.0025351497647235
74,1,193,100,326.1637297107118,7.029623104137965,2,1.1804855300534194,1.1054100807994338
75,100,193,100,13.627700050932628,7.029623104137965,2,1.1804855300534194,1.1054100807994338
76,1,181,100,296.50833155146887,1080.222195582419,2,1.0008298172428578,1.1718782362713882
77,100,181,100,9.986460900767966,1080.222195582419,2,1.0008298172428578,1.1718782362713882
78,1,167,100,272.4911929698748,4.636464491558188,2,1.2670395244579753,1.0030866692660594
79,100,167,100,13.690187531945794,4.636464491558188,2,1.2670395244579753,1.0030866692660594
80,1,169,100,274.7728437634888,4.002876788746525,2,1.3435285525270935,1.0106493496911044
81,100,169,100,9.82628866687946,4.002876788746525,2,1.3435285525270935,1.0106493496911044
82,1,175,100,293.6084363895242,4.232484526404934,2,1.3355131580479715,1.2579786510066102
83,100,175,100,9.742220755292962,4.232484526404934,2,1.3355131580479715,1.2579786510066102
84,1,177,100,289.60296475013354,6.134192925470657,2,1.1934310846221738,1.0012150424778434
85,100,177,100,11.270539868236613,6.134192925470657,2,1.1934310846221738,1.0012150424778434
86,1,164,100,264.44888389505036,4.230098090544083,2,1.298168683154672,1.0003093198448407
87,100,164,100,11.991538083868836,4.230098090544083,2,1.298168683154672,1.0003093198448407
88,1,179,100,299.30502529388775,6.982666213525793,2,1.166212173342435,1.0019497549281033
89,100,179,100,13.563355430508302,6.982666213525793,2,1.166212173342435,1.0019497549281033
90,1,176,100,291.541243453382,6.971578961026204,2,1.162487486085936,1.0136013373337431
91,100,176,100,9.698252928251069,6.971578961026204,2,1.162487486085936,1.0136013373337431
92,1,186,100,303.81382490539124,22.11983210550722,2,1.0451387300546622,1.6497611066803533
93,100,186,100,13.089186400907316,22.11983210550722,2,1.0451387300546622,1.6497611066803533
94,1,162,100,255.98813352261394,3.153472363609156,2,1.4865141621354427,1.0002980982465315
95,100,162,100,15.074643585195052,3.153472363609156,2,1.4865141621354427,1.0002980982465315
96,1,168,100,276.13994570065285,3.0362936860229484,2,1.5813024240682347,1.4734955253205495
97,100,168,100,9.547746061268723,3.0362936860229484,2,1.5813024240682347,1.4734955253205495
98,1,192,100,319.51322664282486,19.691473107580194,2,1.0531599915440168,1.002206540625611
99,100,192,100,11.128970473569574,19.691473107580194,2,1.0531599915440168,1.002206540625611
100,1,174,100,287.7125810418886,5.482281634454043,2,1.2221540338250714,1.005298294271548
101,100,174,100,17.537807849755076,5.482281634454043,2,1.2221540338250714,1.005298294271548
102,1,178,100,293.1301263309915,6.328410888488022,2,1.1872014200755554,1.0012387384854955
103,100,178,100,13.19258719754976,6.328410888488022,2,1.1872014200755554,1.0012387384854955
104,1,187,100,308.0192223602422,22.550851756634355,2,1.0445127763185582,1.0525717058576967
105,100,187,100,13.865202130190639,22.550851756634355,2,1.0445127763185582,1.0525717058576967
106,1,166,100,267.64992111244976,9.213017957810044,2,1.1046198326993615,1.4182837037649065
107,100,166,100,9.984336500594479,9.213017957810044,2,1.1046198326993615,1.4182837037649065
108,1,175,100,285.79346456558596,7.512746682301076,2,1.145781491129721,1.0347652124733953
109,100,175,100,11.868044545388248,7.512746682301076,2,1.145781491129721,1.0347652124733953
110,1,170,100,276.2848757595677,4.570206430717624,2,1.2796363511227404,1.0072333737533503
111,100,170,100,15.120653034440284,4.570206430717624,2,1.2796363511227404,1.0072333737533503
112,1,182,100,302.1126302696805,8.54595699859314,2,1.1308596034482896,1.0110772260298393
113,100,182,100,9.883725730383897,8.54595699859314,2,1.1308596034482896,1.0110772260298393
114,1,182,100,298.3294287074844,6.787396780482324,2,1.1750310173804757,1.0040204894085596
115,100,182,100,13.058682007780972,6.787396780482324,2,1.1750310173804757,1.0040204894085596
116,1,180,100,300.8752481068333,11.00605998468679,2,1.0952258774668524,1.0021830657347237
117,100,180,100,13.371996112296948,11.00605998468679,2,1.0952258774668524,1.0021830657347237
118,1,169,100,275.60482614866373,3.6074897540733155,2,1.4130982779792152,1.0572235855171683
119,100,169,100,11.366808518750853,3.6074897540733155,2,1.4130982779792152,1.0572235855171683
120,1,171,100,276.6835864018997,3.962067009549144,2,1.354265013257703,1.0007849010283507
121,100,171,100,9.278463091574775,3.962067009549144,2,1.354265013257703,1.0007849010283507
122,1,172,100,281.61227171450327,5.299632841544547,2,1.228598796190289,1.0027907603293589
123,100,172,100,13.64326389832306,5.299632841544547,2,1.228598796190289,1.0027907603293589
124,1,157,100,250.74397190991647,3.378335065964091,2,1.4076456684985739,1.0002469327657963
125,100,157,100,11.92188311256697,3.378335065964091,2,1.4076456684985739,1.0002469327657963
126,1,188,100,312.54474427685363,32.045423850377,2,1.030812352227418,1.0039860282703228
127,100,188,100,17.24779261242898,32.045423850377,2,1.030812352227418,1.0039860282703228
128,1,173,100,286.013384521226,5.362657435126821,2,1.2275113054038613,1.0050028223639513
129,100,173,100,9.963452377791466,5.362657435126821,2,1.2275113054038613,1.0050028223639513
130,1,159,100,257.6623754997846,3.396397258464554,2,1.4178991317816119,1.0131599513983212
131,100,159,100,7.761978202434764,3.396397258464554,2,1.4178991317816119,1.0131599513983212
132,1,181,100,300.09806868462863,3.6660717624714283,2,1.4457150437416155,1.4771659538443827
133,100,181,100,13.812550405147155,3.6660717624714283,2,1.4457150437416155,1.4771659538443827
134,1,178,100,292.04124816188914,6.317202720981376,2,1.1874052080642743,1.002393279883931
135,100,178,100,13.306093817190677,6.317202720981376,2,1.1874052080642743,1.002393279883931
136,1,152,100,235.92833529734992,1.7844969021308819,2,3.944908090008273,1.930749267788625
137,100,152,100,11.945725417386583,1.7844969021308819,2,3.944908090008273,1.930749267788625
138,1,181,100,297.5053807888452,6.656458416414303,2,1.1785490720346872,1.0415845043908296
139,100,181,100,11.736089646862213,6.656458416414303,2,1.1785490720346872,1.0415845043908296
140,1,199,100,340.0542994956196,29.86245043707425,2,1.035340902844653,1.0755403855820045
141,100,199,100,15.98928107774632,29.86245043707425,2,1.035340902844653,1.0755403855820045
142,1,170,100,271.16073220787075,4.879143710677965,2,1.2507640697883895,1.8960482479530947
143,100,170,100,11.430784000712373,4.879143710677965,2,1.2507640697883895,1.8960482479530947
144,1,174,100,287.4809715680668,4.902486760014688,2,1.2616913600346342,1.012141250123509
145,100,174,100,11.055949604646376,4.902486760014688,2,1.2616913600346342,1.012141250123509
146,1,197,100,328.40551019006716,15.310792140112355,2,1.0721774378203393,1.0005275647381018
147,100,197,100,13.331668721846176,15.310792140112355,2,1.0721774378203393,1.0005275647381018
148,1,166,100,274.4505694425752,2.3344715567291963,2,2.167400768920918,1.6064027474945155
149,100,166,100,11.354967191339904,2.3344715567291963,2,2.167400768920918,1.6064027474945155
150,1,161,100,256.0086402393425,4.220248635613753,2,1.2881086303029536,1.2374635203137805
151,100,161,100,11.186948281148219,4.220248635613753,2,1.2881086303029536,1.2374635203137805
152,1,173,100,280.0617463591935,7.194759803542372,2,1.1513531019687857,1.0952245946355368
153,100,173,100,11.874217457295094,7.194759803542372,2,1.1513531019687857,1.0952245946355368
154,1,177,100,288.8136297403338,4.457003832371546,2,1.3079531611929616,1.0017206242510912
155,100,177,100,9.807142258814984,4.457003832371546,2,1.3079531611929616,1.0017206242510912
156,1,165,100,265.4820180130732,4.427775420898691,2,1.2795092260864571,1.131147261477586
157,100,165,100,9.175581190109167,4.427775420898691,2,1.2795092260864571,1.131147261477586
158,1,172,100,280.10407709277206,6.3045354529023285,2,1.179043010452574,1.0057853859937222
159,100,172,100,11.677696120549742,6.3045354529023285,2,1.179043010452574,1.0057853859937222
160,1,162,100,254.67896102150178,2.924077493966437,2,1.566154223886954,1.0045238576220563
161,100,162,100,11.611004456653935,2.924077493966437,2,1.566154223886954,1.0045238576220563
162,1,193,100,324.3361055530352,13.979770626650032,2,1.0783567122848035,1.0003506625031944
163,100,193,100,15.033950329282375,13.979770626650032,2,1.0783567122848035,1.0003506625031944
164,1,186,100,311.2249397117199,6.995253603718352,2,1.173756288499446,1.0135383887582674
165,100,186,100,11.64673654479822,6.995253603718352,2,1.173756288499446,1.0135383887582674
166,1,171,100,278.0564074696823,3.6035528394935588,2,1.4199305819404069,1.0041594612243685
167,100,171,100,11.376072898019668,3.6035528394935588,2,1.4199305819404069,1.0041594612243685
168,1,189,100,317.9823530751263,15.846178516269195,2,1.0664936987126004,1.0033601733018227
169,100,189,100,13.387657251480604,15.846178516269195,2,1.0664936987126004,1.0033601733018227
170,1,181,100,299.34806107955035,5.69527570508662,2,1.2214637040109375,1.0064988274446007
171,100,181,100,9.87899196674372,5.69527570508662,2,1.2214637040109375,1.0064988274446007
172,1,174,100,282.3655007742712,5.9668271331557525,2,1.1958028286717723,1.0146294251880044
173,100,174,100,11.054301960277266,5.9668271331557525,2,1.1958028286717723,1.0146294251880044
174,1,180,100,300.0455744930557,6.68903446048185,2,1.1769949432260634,1.012666553869871
175,100,180,100,11.768847644143248,6.68903446048185,2,1.1769949432260634,1.012666553869871
176,1,176,100,286.7059735598474,4.708697417266955,2,1.280429987494914,1.006331433200876
177,100,176,100,13.216541225060197,4.708697417266955,2,1.280429987494914,1.006331433200876
178,1,175,100,285.78652951015863,5.857930400820705,2,1.202880554751561,1.0037639840027541
179,100,175,100,15.551325071829897,5.857930400820705,2,1.202880554751561,1.0037639840027541
180,1,169,100,274.5331023915214,4.629937347124735,2,1.2716929552195093,1.6901563589146658
181,100,169,100,15.228649854465612,4.629937347124735,2,1.2716929552195093,1.6901563589146658
182,1,165,100,266.3493946800015,3.277920261631376,2,1.4735754920876991,1.1516415544028886
183,100,165,100,9.543117333694076,3.277920261631376,2,1.4735754920876991,1.1516415544028886
184,1,167,100,266.30212795307546,3.2509166078468006,2,1.4844524292207142,1.005980454820001
185,100,167,100,9.54675003080345,3.2509166078468006,2,1.4844524292207142,1.005980454820001
186,1,181,100,300.9134539746994,6.271371625216272,2,1.1941969142604323,1.2301950949124059
187,100,181,100,9.558670552925049,6.271371625216272,2,1.1941969142604323,1.2301950949124059
188,1,183,100,301.82932148316746,6.641868557695659,2,1.1816922858651135,1.0022074827914653
