,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12635,635,100,129461,100,206544.605,28907.261377003822,20,3.459058543105323e-05,8.559
12636,636,1,128660,100,2572216.71,22022.260645396844,20,4.541453383710424e-05,1.001
12637,637,100,128660,100,99493.838,22022.260645396844,20,4.541453383710424e-05,1.001
12638,638,1,119087,100,2380689.574,20242.296634992224,20,4.94088213617016e-05,0.898
12639,639,100,119087,100,102965.253,20242.296634992224,20,4.94088213617016e-05,0.898
12640,640,1,109204,100,2183005.286,20443.24134304441,20,4.891896366582276e-05,1.92
12641,641,100,109204,100,83675.119,20443.24134304441,20,4.891896366582276e-05,1.92
12642,642,1,119519,100,2389303.09,20868.681862807305,20,4.792451089730955e-05,0.898
12643,643,100,119519,100,125065.933,20868.681862807305,20,4.792451089730955e-05,0.898
12644,644,1,130026,100,2599432.468,22344.07783064737,20,4.476021613317484e-05,0.898
12645,645,100,130026,100,124202.312,22344.07783064737,20,4.476021613317484e-05,0.898
12646,646,1,122001,100,2438975.064,21222.192560445576,20,4.712625489573616e-05,0.898
12647,647,100,122001,100,139655.024,21222.192560445576,20,4.712625489573616e-05,0.898
12648,648,1,119892,100,2396771.034,22087.00314648499,20,4.527871345510878e-05,0.898
12649,649,100,119892,100,108228.559,22087.00314648499,20,4.527871345510878e-05,0.898
12650,650,1,117412,100,2347157.177,27681.496168544752,20,3.612053227682586e-05,8.273
12651,651,100,117412,100,79863.966,27681.496168544752,20,3.612053227682586e-05,8.273
12652,652,1,126573,100,2530420.116,22102.846615264632,20,4.524822310058855e-05,1.001
12654,654,1,118600,100,2370991.617,21020.67275007725,20,4.757735321383405e-05,1.001
12685,685,100,124587,100,124827.615,21029.88483823738,20,4.75584223138089e-05,1.741
12686,686,1,131348,100,2625993.93,23645.60855467007,20,4.229471381915507e-05,1.001
12687,687,100,131348,100,114409.548,23645.60855467007,20,4.229471381915507e-05,1.001
12720,720,1,126112,100,2521219.494,28355.37736484062,20,3.526357725279574e-05,8.854
12721,721,100,126112,100,143743.347,28355.37736484062,20,3.526357725279574e-05,8.854
12722,722,1,126916,100,2537326.341,24151.55526585384,20,4.140685264940723e-05,0.898
12723,723,100,126916,100,149019.264,24151.55526585384,20,4.140685264940723e-05,0.898
