,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
1316,1316,1,1036,100,994.777,8.533150521991773,1,0.1193030417132007,0.164
1315,1315,100,1019,100,42.56,6.760653398423159,1,0.1554426103987255,0.519
1342,1342,1,925,100,878.357,7.716252155921503,1,0.1318064818450938,0.115
1314,1314,1,1019,100,976.956,6.760653398423159,1,0.1554426103987255,0.519
1343,1343,100,925,100,33.635,7.716252155921503,1,0.1318064818450938,0.115
1345,1345,100,1041,100,48.964,8.895523487395863,1,0.1138498671912068,0.267
1372,1372,1,862,100,819.441,7.001732057433389,1,0.1460874997229631,0.233
1371,1371,100,986,100,39.899,7.069977161240164,1,0.1469835732246057,0.454
1370,1370,1,986,100,943.113,7.069977161240164,1,0.1469835732246057,0.454
1369,1369,100,1009,100,53.442,7.339432272282362,1,0.1411337460472684,0.355
1368,1368,1,1009,100,964.788,7.339432272282362,1,0.1411337460472684,0.355
1367,1367,100,973,100,44.251,7.7978191564394,1,0.1311288655577207,0.159
1366,1366,1,973,100,929.705,7.7978191564394,1,0.1311288655577207,0.159
1365,1365,100,1030,100,70.306,8.871009434493054,1,0.1141154460814887,0.129
1364,1364,1,1030,100,987.498,8.871009434493054,1,0.1141154460814887,0.129
1363,1363,100,1127,100,62.23,9.855338232822197,1,0.1024479658292399,0.577
1362,1362,1,1127,100,1082.365,9.855338232822197,1,0.1024479658292399,0.577
1361,1361,100,1009,100,47.783,7.96256300442727,1,0.1285831579840781,0.346
1360,1360,1,1009,100,964.871,7.96256300442727,1,0.1285831579840781,0.346
1359,1359,100,957,100,40.201,7.939778723208702,1,0.1281661058936633,0.406
1358,1358,1,957,100,911.733,7.939778723208702,1,0.1281661058936633,0.406
1357,1357,100,1075,100,46.676,9.561705232188611,1,0.1054235938291546,0.48
1356,1356,1,1075,100,1030.429,9.561705232188611,1,0.1054235938291546,0.48
1355,1355,100,887,100,42.503,8.77111100371397,1,0.1134290078188588,0.542
1354,1354,1,887,100,841.715,8.77111100371397,1,0.1134290078188588,0.542
1353,1353,100,1113,100,37.203,9.462088115186717,1,0.1070365594066285,0.13
1352,1352,1,1113,100,1067.248,9.462088115186717,1,0.1070365594066285,0.13
1351,1351,100,855,100,39.201,7.876759041120999,1,0.1273632207623107,0.484
1350,1350,1,855,100,806.701,7.876759041120999,1,0.1273632207623107,0.484
1349,1349,100,941,100,53.152,7.234282450878616,1,0.142192584274863,0.093
1348,1348,1,941,100,892.946,7.234282450878616,1,0.142192584274863,0.093
