,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
149,100,185,100,5676.0000500001,2009.4998173258818,1125,0.00031899547902219325,302.000301000602
150,1,196,100,117866.00976601953,1357.3057896696168,1125,0.0006479222533387663,108.00010700021402
151,100,196,100,8147.000271000542,1357.3057896696168,1125,0.0006479222533387663,108.00010700021402
152,1,205,100,130279.01205402412,8123.026155459552,1125,6.840652251152307e-05,290.00028900057805
153,100,205,100,7877.000001000002,8123.026155459552,1125,6.840652251152307e-05,290.00028900057805
154,1,179,100,99827.0108520217,1027.4274594559784,1125,0.0009395533657395827,119.00011800023601
155,100,179,100,4617.000116000232,1027.4274594559784,1125,0.0009395533657395827,119.00011800023601
156,1,180,100,102644.01254402508,2593.4608815793163,1125,0.00021967222665637172,353.000352000704
157,100,180,100,4853.000352000704,2593.4608815793163,1125,0.00021967222665637172,353.000352000704
158,1,217,100,141469.00974401948,8402.720629545478,1125,6.95632996314908e-05,259.000258000516
159,100,217,100,10192.000066000131,8402.720629545478,1125,6.95632996314908e-05,259.000258000516
160,1,187,100,108413.01043802088,2354.732687895295,1125,0.00026210977104192574,227.00022600045202
161,100,187,100,7879.000003000006,2354.732687895295,1125,0.00026210977104192574,227.00022600045202
162,1,172,100,92737.01163702327,1375.5357397172922,1125,0.0005005035079389085,188.000187000374
163,100,172,100,6753.000002000004,1375.5357397172922,1125,0.0005005035079389085,188.000187000374
164,1,181,100,103001.01177602356,4471.829643712866,1125,0.00011466588670968948,306.00030500061
165,100,181,100,6784.000033000066,4471.829643712866,1125,0.00011466588670968948,306.00030500061
166,1,193,100,114482.00975701952,808.8284826751856,1125,0.0022344013164954045,1.0
167,100,193,100,10160.000034000068,808.8284826751856,1125,0.0022344013164954045,1.0
168,1,207,100,131151.01067602137,1052.1633115791337,1125,0.0012348985351532103,31.000030000060004
169,100,207,100,9098.000097000195,1052.1633115791337,1125,0.0012348985351532103,31.000030000060004
170,1,211,100,134924.0099490199,962.7454355899206,1125,0.001627201485443654,1.0
171,100,211,100,7925.000049000098,962.7454355899206,1125,0.001627201485443654,1.0
172,1,240,100,167546.00994601988,1086.247844102388,1125,0.0015028961995138606,1.0
173,100,240,100,10178.000052000105,1086.247844102388,1125,0.0015028961995138606,1.0
174,1,167,100,83922.0084470169,2936.3009652239302,1125,0.00016484587721672623,211.00021000042003
175,100,167,100,4612.000111000222,2936.3009652239302,1125,0.00016484587721672623,211.00021000042003
176,1,198,100,120628.01027802055,884.4875202961606,1125,0.0017981480225244275,1.0
177,100,198,100,6837.000086000172,884.4875202961606,1125,0.0017981480225244275,1.0
178,1,197,100,118441.00921601843,3258.6854947448337,1125,0.0001852842180614648,243.00024200048404
179,100,197,100,6857.000106000212,3258.6854947448337,1125,0.0001852842180614648,243.00024200048404
180,1,185,100,106290.01056502113,869.9817998926411,1125,0.001555163788834669,1.0
181,100,185,100,6000.000374000748,869.9817998926411,1125,0.001555163788834669,1.0
182,1,200,100,123151.0105510211,5290.98677080944,1125,0.00010694657081255478,270.000269000538
183,100,200,100,7877.000001000002,5290.98677080944,1125,0.00010694657081255478,270.000269000538
184,1,190,100,109633.00828301656,2450.361637733452,1125,0.0002528546568106983,179.00017800035602
185,100,190,100,8019.000143000286,2450.361637733452,1125,0.0002528546568106983,179.00017800035602
186,1,210,100,133881.01003102007,1893.8401788287815,1125,0.0004169423737232466,169.000168000336
187,100,210,100,11281.00003000006,1893.8401788287815,1125,0.0004169423737232466,169.000168000336
188,1,175,100,95065.01059002118,836.8049393926696,1125,0.0014598297536148096,38.000037000074
189,100,175,100,4884.000383000766,836.8049393926696,1125,0.0014598297536148096,38.000037000074
190,1,200,100,124001.0114010228,6082.642881820008,1125,9.153087135461757e-05,349.000348000696
191,100,200,100,9308.000307000613,6082.642881820008,1125,9.153087135461757e-05,349.000348000696
192,1,198,100,119717.00936701873,830.4733578558086,1125,0.0021915742005996293,4.000003000006
193,100,198,100,6773.000022000044,830.4733578558086,1125,0.0021915742005996293,4.000003000006
194,1,201,100,124292.01056702113,2978.99959216055,1125,0.00021286151085022292,247.000246000492
195,100,201,100,7887.000011000022,2978.99959216055,1125,0.00021286151085022292,247.000246000492
196,1,215,100,141474.011999024,8638.946588369032,1125,6.702024197710157e-05,346.00034500069006
197,100,215,100,11475.000224000449,8638.946588369032,1125,6.702024197710157e-05,346.00034500069006
198,1,188,100,108886.00978601957,8747.785774960743,1125,5.730294385965739e-05,244.00024300048602
199,100,188,100,9112.000111000221,8747.785774960743,1125,5.730294385965739e-05,244.00024300048602
200,1,205,100,131021.01279602559,9541.390515618126,1125,5.753538016717305e-05,394.00039300078606
201,100,205,100,10135.000009000018,9541.390515618126,1125,5.753538016717305e-05,394.00039300078606
202,1,200,100,124399.0117990236,1068.2736861360859,1125,0.0011203763066208025,1.0
203,100,200,100,6826.00007500015,1068.2736861360859,1125,0.0011203763066208025,1.0
204,1,180,100,100393.01029302058,1390.8440818828312,1125,0.0005334794197518205,195.000194000388
205,100,180,100,5703.000077000154,1390.8440818828312,1125,0.0005334794197518205,195.000194000388
206,1,180,100,102864.01276402554,2024.628601141281,1125,0.0003058464824796618,348.00034700069403
207,100,180,100,9022.000021000042,2024.628601141281,1125,0.0003058464824796618,348.00034700069403
208,1,207,100,133424.0129490259,8330.503995894533,1125,6.725370924318049e-05,365.00036400072804
209,100,207,100,9071.00007000014,8330.503995894533,1125,6.725370924318049e-05,365.00036400072804
210,1,228,100,153714.00961401922,948.0437372723885,1125,0.002049969200936412,1.0
211,100,228,100,6824.000073000146,948.0437372723885,1125,0.002049969200936412,1.0
212,1,191,100,113329.0108540217,2413.18025417477,1125,0.0002618038903709378,266.00026500053
213,100,191,100,10136.00001000002,2413.18025417477,1125,0.0002618038903709378,266.00026500053
214,1,215,100,139346.00987101975,12637.759620741137,1125,4.4612163617731565e-05,286.00028500057005
